Microsoft Windows [Version 10.0.19045.2251]
(c) Microsoft Corporation. All rights reserved.

C:\Luaan\CS331>python predict_contours.py
15 5 100 50 700 0.3673576408776759
15 5 115 50 700 0.3758464910530096
15 5 130 50 700 0.38085221518140305
15 5 145 50 700 0.3820564540775013
15 5 160 50 700 0.38580205563582703
15 5 175 50 700 0.386330995405754
15 5 190 50 700 0.3853072223828389
15 5 205 50 700 0.3856391572509724
15 5 220 50 700 0.38923087780983
15 5 235 50 700 0.3899918728708035
15 5 250 50 700 0.3852001003677495
15 10 100 50 700 0.3658953477164159
15 10 115 50 700 0.37150999596866396
15 10 130 50 700 0.3789326180245932
15 10 145 50 700 0.37821375767546006
15 10 160 50 700 0.382325911335631
15 10 175 50 700 0.38477674270723755
15 10 190 50 700 0.3840488442606532
15 10 205 50 700 0.3863395185538788
15 10 220 50 700 0.38741826351735353
15 10 235 50 700 0.38806402817599256
15 10 250 50 700 0.38355400741052287
15 15 100 50 700 0.37285597260227227
15 15 115 50 700 0.3780425476406274
15 15 130 50 700 0.375036518285251
15 15 145 50 700 0.38313581130069035
15 15 160 50 700 0.38439704809286407
15 15 175 50 700 0.38389586426117484
15 15 190 50 700 0.38236855265986147
15 15 205 50 700 0.3856874726932976
15 15 220 50 700 0.38610740374326075
15 15 235 50 700 0.38670217445644
15 15 250 50 700 0.38198716754206175
15 20 100 50 700 0.3814708199572943
15 20 115 50 700 0.3815148470053428
15 20 130 50 700 0.38098689888820975
15 20 145 50 700 0.3839893478768807
15 20 160 50 700 0.3835211542286302
15 20 175 50 700 0.38562656790288824
15 20 190 50 700 0.3867359896538799
15 20 205 50 700 0.38428646190597443
15 20 220 50 700 0.3819975091726082
15 20 235 50 700 0.3839701243996719
15 20 250 50 700 0.37891499177993576
15 25 100 50 700 0.37796872813929444
15 25 115 50 700 0.3820189912251724
15 25 130 50 700 0.38107566349219435
15 25 145 50 700 0.3840352985927917
15 25 160 50 700 0.3840856313048104
15 25 175 50 700 0.38251280849701746
15 25 190 50 700 0.38601111518798953
15 25 205 50 700 0.3848970544300177
15 25 220 50 700 0.38241941095634646
15 25 235 50 700 0.38181406445463034
15 25 250 50 700 0.37759869756571435
15 30 100 50 700 0.38351103582767576
